"Plot.number","Treatment","Water.treatment","WHS","Herbivores","WTH","Year","Soil_N","Soil_Ca","Soil_Mg","Soil_K","Soil_P","Soil_Fe","Soil_Mn","Soil_Cu","Soil_Zn","Soil_B","Soil_S","Plant_C","Plant_N","Plant_P","Plant_Na","Plant_Mg","Plant_K","Plant_Ca","Plant_Mn","Plant_Fe","Plant_Cu","Plant_Zn","Plant_S","Plant_Cl","Plant_Si"
"36","1","Control","Control.1.2014","1","Ambient +RH","2014",5.08,988.06,310.73,318.14,0.96,16.21,44.95,1.89,2.11,0.15,70.14,47.28,1.18,925.567,466.502,2199.546,14025.52,3058.477,242.422,122.801,5.6,32.681,1904.463,7696.944,1.665
"37","2","Reduced","Reduced.0.2014","0","Reduced amount -RH","2014",8.4,959.95,268.71,442.83,1.14,16.38,42.4,1.53,5.1,0.45,78.14,48.58,1.35,900.187,380.893,1473.915,13432.15,2861.209,204.097,98.607,4.93,48.807,543.597,8558.741,1.118
"39","1","Control","Control.0.2014","0","Ambient -RH","2014",4.52,782.07,255.53,330.66,0.82,17.8,25.51,1.08,2.83,0.71,48.91,47.25,1.25,1376.549,357.581,1999.019,14061.18,3185.869,225.111,113.933,5.606,69.53,1408.535,8596.117,1.596
"41","2","Reduced","Reduced.1.2014","1","Reduced amount +RH","2014",6.61,859,272.01,431.8,0.14,12.08,25.03,1.03,1.7,0.13,53.53,47.33,1.35,924.113,452.79,2183.364,12706.35,3274.684,285.202,291.455,6.97,41.038,1460.511,7148.863,1.747
"43","2","Reduced","Reduced.0.2014","0","Reduced amount -RH","2014",9.4,385.56,122.08,450.2,2.03,7.12,19.67,0.49,1.33,0.19,34.89,47.08,1.43,1123.191,367.024,1763.959,14280.83,3193.595,228.293,349.192,6.884,43.607,1685.142,7252.572,1.82
"44","1","Control","Control.1.2014","1","Ambient +RH","2014",7.28,826.65,304.4,403.51,0.93,8.19,18.26,0.91,1.4,0.1,40.65,47.09,1.22,875.936,323.589,2152.68,11810.9,3175.178,238.502,187.419,6.32,41.631,1353.317,7163.099,2.047
"46","1","Control","Control.0.2014","0","Ambient -RH","2014",5.88,1012.64,299.93,343.66,0.76,21.67,54.07,1.74,3.14,0.47,52.66,47.57,1.34,1253.331,286.011,2244.741,15226.73,3679.076,351.378,218.345,5.999,40.61,2003.436,7899.172,1.711
"47","3","Altered Frequency","Altered Frequency.0.2014","0","Reduced frequency -RH","2014",11.94,672.68,190.64,443.84,1.1,12.76,32.47,1.19,2.25,0.4,56.41,47.93,1.56,1017.142,508.456,2052.748,13076.74,3846.221,249.205,133.907,6.215,57.786,1299.377,7452.77,1.564
"50","3","Altered Frequency","Altered Frequency.1.2014","1","Reduced frequency +RH","2014",6.32,1347.52,321.95,683.41,2.27,23.34,23.4,1.3,2.68,0.64,137.25,48.01,0.87,1218.154,548.663,1114.997,8506.185,4411.296,179.472,123.6,6.012,53.042,866.189,4600.949,1.575
"52","3","Altered Frequency","Altered Frequency.0.2014","0","Reduced frequency -RH","2014",12.26,1067.12,358.39,423.22,1.16,15.35,37.64,1.31,2.23,0.25,77.87,47.67,1.11,854.897,337.619,2189.364,13286.61,3433.664,254.722,103.695,5.3,37.664,1530.847,6439.743,1.733
"53","1","Control","Control.0.2014","0","Ambient -RH","2014",6.54,884.15,307.92,367.37,0.56,19.08,60.78,1.75,2.32,0.27,81.78,47.38,1.18,974.759,411.864,2152.737,12901.79,2935.052,268.915,213.908,6.027,46.434,1285.499,8180.318,2.086
"54","3","Altered Frequency","Altered Frequency.1.2014","1","Reduced frequency +RH","2014",23.58,1153.62,302.46,367.57,0.51,18.11,41.43,1.57,2.22,1.21,77.16,47.64,1.08,577.877,421.261,1367.062,9461.144,3213.569,325.937,180.183,5.315,39.696,631.862,6209.872,2.274
"55","1","Control","Control.1.2014","1","Ambient +RH","2014",6.82,1251.76,380.06,275.55,0.31,20.64,52.81,2.15,3.44,0.16,73.14,47.36,1.08,791.49,272.183,1913.992,11452.94,3095.842,254.397,177.301,5.147,42.779,992.932,6926.395,2.13
"56","2","Reduced","Reduced.0.2014","0","Reduced amount -RH","2014",8.84,1199.18,361.62,463.48,0.34,18.85,57.29,1.64,2.45,0.44,71.81,47.66,1.24,1068.795,265.418,1701.799,13143.23,3259.684,295.642,270.071,5.598,39.945,1078.493,7913.685,1.717
"60","2","Reduced","Reduced.1.2014","1","Reduced amount +RH","2014",7.38,870.14,281.16,1057.33,21.76,32.6,26.61,1.14,2.66,0.5,198.36,48.82,1.06,1487.374,566.471,999.25,9170.227,4371.607,196.009,153.015,5.564,46.853,1000.316,5501.102,1.296
"1","3","Altered Frequency","Altered Frequency.0.2015","0","Reduced frequency -RH","2015",13.32,1699.13,576.18,196.45,8.03,33.16,47.56,2.49,8.66,0.07,93.91,46.36,0.84,1918.883,579.663,1728,13048.15,3628.34,273.724,84.694,7.955,36.626,1961.045,5668.315,1.356
"2","1","Control","Control.0.2015","0","Ambient -RH","2015",12.13,1672.55,557.67,356.92,2.07,29.84,48.72,2.35,6.66,0.04,116.14,44.14,0.8,1548.514,601.893,2500.546,5038.345,5337.034,314.958,214.31,10.162,79.786,1524.682,3331.922,2.288
"4","2","Reduced","Reduced.1.2015","1","Reduced amount +RH","2015",7.8,1304.14,335.93,446.79,1.69,7.87,13.78,1.02,3.91,0.25,44.86,45.79,0.68,1074.232,529.723,1921.392,12244.6,4013.389,262.301,72.377,6.567,45.455,1039.559,7401.912,1.13
"5","2","Reduced","Reduced.0.2015","0","Reduced amount -RH","2015",22.04,1412.43,460.22,770.94,3.18,15.11,22.86,3.5,11.18,0,44.35,46.18,0.68,666.854,554.551,1311.553,13027.54,3404.067,142.724,47.964,6.132,42.495,893.253,8346.31,0.946
