"Plot.number","Treatment","Water.treatment","WHS","Herbivores","WTH","Year","Soil_N","Soil_Ca","Soil_Mg","Soil_K","Soil_P","Soil_Fe","Soil_Mn","Soil_Cu","Soil_Zn","Soil_B","Soil_S","Plant_C","Plant_N","Plant_P","Plant_Na","Plant_Mg","Plant_K","Plant_Ca","Plant_Mn","Plant_Fe","Plant_Cu","Plant_Zn","Plant_S","Plant_Cl","Plant_Si"
"37","2","Reduced","Reduced.0.2016","0","Reduced amount -RH","2016",3.2,1493.97,454.81,277.58,1.65,53.15,55.94,3.3,37,0.26,177.08,46.021,0.48909,632.469,373.879,1806.231,7141.269,4049.375,339.031,456.462,6.775,46.542,692.029,6938.792,2.246
"39","1","Control","Control.0.2016","0","Ambient -RH","2016",1.59,1621.4,594.58,158.43,3.42,56.33,62.2,4.83,7.29,0.6,193.09,44.706,0.65701,369.284,648.112,1497.327,9519.986,2426.312,214.468,110.018,4.369,31.064,364.711,7760.63,1.291
"41","2","Reduced","Reduced.1.2016","1","Reduced amount +RH","2016",2.26,1863.51,565.99,242.39,3.21,28.17,59.63,1.84,2.83,0.18,151.62,46.589,0.41715,386.403,408.913,1479.637,10466.51,2580.621,263.742,131.484,5.798,28.198,578.664,7885.199,1.547
"43","2","Reduced","Reduced.0.2016","0","Reduced amount -RH","2016",3.53,1934.89,529.58,308.02,2.11,25.1,59.69,2.05,5.69,0.27,122.45,46.245,0.53279,83.903,473.396,2001.652,6473.337,4594.2,364.786,293.457,4.763,30.679,1328.875,5990.348,2.044
"44","1","Control","Control.1.2016","1","Ambient +RH","2016",3.72,1914.72,649.97,126.14,1.93,18.8,49.07,2.95,4.36,0.6,259.36,45.809,0.51478,205.302,391.637,1266.81,7609.878,2817.29,267.408,92.488,4.41,27.325,258.552,6478.77,1.543
"46","1","Control","Control.0.2016","0","Ambient -RH","2016",6.96,1767.86,654.91,217.7,1.48,31.43,68.01,2.3,11.01,0.18,170.63,46.38,0.52369,418.733,493.255,1686.708,9058.64,3045.283,262.12,99.978,5.528,29.459,432.314,8275.194,1.227
"47","3","Altered Frequency","Altered Frequency.0.2016","0","Reduced frequency -RH","2016",2.28,599.51,256.07,352.67,2.65,8.83,20.04,0.61,1.53,0.08,47.53,46.217,0.6399,755.777,435.066,1047.101,10003.02,4194.268,312.334,155.728,4.679,52.258,266.758,3963.927,1.263
"50","3","Altered Frequency","Altered Frequency.1.2016","1","Reduced frequency +RH","2016",2.86,1825.01,731.61,295.11,3.36,42.57,21.45,1.9,5.61,0.7,299.19,47.061,0.60476,373.689,503.048,962.49,8783.023,3089.089,242.275,340.091,5.851,32.944,502.658,7299.082,1.776
"52","3","Altered Frequency","Altered Frequency.0.2016","0","Reduced frequency -RH","2016",2.2,933.79,311.89,468.96,1.36,17.43,49.7,1.23,3.73,0.37,112.47,45.856,0.48938,213.859,378.75,1005.817,9542.896,2909.64,319.393,95.178,4.975,26.984,19.926,6983.897,1.651
"53","1","Control","Control.0.2016","0","Ambient -RH","2016",4,1708.7,633.2,188.06,4.58,28.79,60.24,2.62,8.72,0.1,152.64,46.633,0.41006,111.635,357.773,1648.954,6624.979,3306.751,309.945,98.799,4.606,31.073,291.678,6908.732,2.171
"54","3","Altered Frequency","Altered Frequency.1.2016","1","Reduced frequency +RH","2016",1.54,1132.91,371.74,402.32,1.7,16.77,44.9,1.06,4.86,0.09,101.29,46.629,0.52205,278.753,577.222,741.863,8358.256,2473.005,296.579,94.318,4.044,28.875,74.526,7033.89,1.336
"55","1","Control","Control.1.2016","1","Ambient +RH","2016",2.77,1765.87,595.98,135.13,1.71,39.13,72.31,3.86,16.07,0.24,186.23,45.769,0.48392,260.087,569.374,2103.493,6312.282,3861.588,340.465,141.172,7.094,37.222,585.316,6613.516,2.056
"56","2","Reduced","Reduced.0.2016","0","Reduced amount -RH","2016",2.4,1771.11,537.49,227.32,1.7,45.48,82.47,2.98,9.23,0.09,116.5,46.91,0.37883,430.104,365.56,1284.368,9950.979,4686.379,329.558,220.369,5.37,34.069,398.35,3811.682,2.125
"60","2","Reduced","Reduced.1.2016","1","Reduced amount +RH","2016",3.48,1356.17,482.47,571.19,2.4,39.77,20.27,1.49,4.36,0.39,184.73,46.35,0.62743,352.923,113.438,589.316,3089.207,1181.243,68.017,160.936,1.01,12.781,577.383,2295.064,0.433
